DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S1A3
7910875;1;1;1;174.2505578;4
7910912;1;1;1;287.58824196;3
7910912;2;1;2;287.58824196;4
7910912;3;1;3;287.58824196;5
7910918;1;1;1;89.394570013;1
7910918;1;1;1;89.394570013;1
7910920;1;1;1;227.51378737;2
7910920;2;1;2;227.51378737;3
7910927;1;1;1;10.147422323;3
7910927;1;1;1;10.147422323;3
7910928;1;1;1;99.239805852;4
7910928;1;1;1;99.239805852;4
7910952;1;1;1;7.6257537272;2
7910952;1;1;1;7.6257537272;2
7910976;1;1;1;952.44182239;4
7910976;1;1;1;952.44182239;4
7910982;1;1;1;9.0595787473;3
7910982;1;1;1;9.0595787473;3
7911010;1;1;1;426.04546764;3
7911010;2;1;2;426.04546764;4
7911010;3;1;3;426.04546764;5
7911010;1;1;1;426.04546764;3
7911010;2;1;2;426.04546764;4
7911010;3;1;3;426.04546764;5
7911011;1;1;1;133.95392126;3
7911011;1;1;1;133.95392126;3
7911016;1;1;1;33.78228037;4
7911016;2;1;2;33.78228037;5
7911016;1;1;1;33.78228037;4
7911016;2;1;2;33.78228037;5
7911052;1;1;1;11.524678445;2
7911052;2;1;2;11.524678445;3
7911052;1;1;1;11.524678445;2
7911052;2;1;2;11.524678445;3
7911062;1;1;1;604.37020385;3
7911062;1;1;1;604.37020385;3
7911065;1;1;1;35.444016422;3
7911065;1;1;1;35.444016422;3
7911079;1;1;1;328.42961219;4
7911079;2;1;2;328.42961219;5
7911079;1;1;1;328.42961219;4
7911079;2;1;2;328.42961219;5
7911082;1;1;1;545.8118688;3
7911082;1;1;1;545.8118688;3
7911090;1;1;1;20.900547456;2
7911090;1;1;1;20.900547456;2
7911098;1;1;1;52.839837387;3
7911098;2;1;2;52.839837387;4
7911098;1;1;1;52.839837387;3
7911098;2;1;2;52.839837387;4
7911125;1;1;1;114.33390356;2
7911125;1;1;1;114.33390356;2
7911129;1;1;1;155.68595311;2
7911129;2;1;2;155.68595311;3
7911129;1;1;1;155.68595311;2
7911129;2;1;2;155.68595311;3
7911134;1;1;1;381.28379446;3
7911134;1;1;1;381.28379446;3
7911165;1;1;1;58.896075728;2
7911165;1;1;1;58.896075728;2
7911170;1;1;1;392.97545455;5
7911170;2;1;2;392.97545455;6
7911170;3;1;3;392.97545455;7
7911185;1;1;1;152.555358;6
7911185;1;1;1;152.555358;6
7911190;1;1;1;19.384869701;2
7911190;1;1;1;19.384869701;2
7911234;1;1;1;444.57535138;3
7911234;1;1;1;444.57535138;3
7911235;1;1;1;465.19067956;1
7911235;1;1;1;465.19067956;1
7911236;1;1;1;522.08196135;3
7911236;1;1;1;522.08196135;3
7911238;1;1;1;210.74817606;5
7911238;1;1;1;210.74817606;5
7911277;1;1;1;168.37609419;3
7911277;2;1;2;168.37609419;4
7911277;1;1;1;168.37609419;3
7911277;2;1;2;168.37609419;4
7911280;1;1;1;86.227470151;3
7911280;2;1;2;86.227470151;4
7911280;1;1;1;86.227470151;3
7911280;2;1;2;86.227470151;4
7911293;1;1;1;133.1021128;2
7911293;2;1;2;133.1021128;3
7911293;1;1;1;133.1021128;2
7911293;2;1;2;133.1021128;3
7911307;1;1;1;1146.2262915;1
7911307;1;1;1;1146.2262915;1
7911314;1;1;1;201.06514944;5
7911314;1;1;1;201.06514944;5
7911315;1;1;1;11.838659377;3
7911315;1;1;1;11.838659377;3
7911319;1;1;1;9.0595787473;2
7911319;2;1;2;9.0595787473;3
7911319;1;1;1;9.0595787473;2
7911319;2;1;2;9.0595787473;3
7911322;1;1;1;47.710467693;4
7911322;1;1;1;47.710467693;4
7911327;1;1;1;201.07509308;2
7911327;2;1;2;201.07509308;3
7911327;3;1;3;201.07509308;4
7911327;1;1;1;201.07509308;2
7911327;2;1;2;201.07509308;3
7911327;3;1;3;201.07509308;4
7911330;1;1;1;69.853178366;2
7911330;2;1;2;69.853178366;3
7911330;1;1;1;69.853178366;2
7911330;2;1;2;69.853178366;3
7911338;1;1;1;42.654115657;2
7911338;1;1;1;42.654115657;2
7911344;1;1;1;97.890455473;2
7911344;1;1;1;97.890455473;2
7911360;1;1;1;127.42987357;3
7911360;1;1;1;127.42987357;3
7911362;1;1;1;60.746414298;3
7911362;1;1;1;60.746414298;3
7911378;1;1;1;9.3563483744;2
7911378;1;1;1;9.3563483744;2
7911385;1;1;1;76.675312313;3
7911385;1;1;1;76.675312313;3
7911398;1;1;1;42.654115657;2
7911398;2;1;2;42.654115657;3
7911398;1;1;1;42.654115657;2
7911398;2;1;2;42.654115657;3
7911403;1;1;1;61.281079923;2
7911403;1;1;1;61.281079923;2
7911406;1;1;1;65.20233916;2
7911406;1;1;1;65.20233916;2
7911424;1;1;1;9.3563483744;2
7911424;1;1;1;9.3563483744;2
7911430;1;1;1;9.3563483744;2
7911430;1;1;1;9.3563483744;2
